Error(Midpoints are not in die_area): temp_buffer_346 Z ['CTS.py', 'rbank36.def', 'star', 'Rbank']
Error(Midpoints are not in die_area): temp_buffer_348 Z ['CTS.py', 'rbank49.def', 'star', 'Rbank']
Error(Midpoints are not in die_area): temp_buffer_1155 Z ['CTS.py', 'rbank49.def', 'star', 'Rbank']
Error(Midpoints are not in die_area): temp_buffer_1412 Z ['CTS.py', 'rbank49.def', 'star', 'Rbank']
Error(Midpoints are not in die_area): temp_buffer_28 Z ['CTS.py', 'rbank51.def', 'star', 'Rbank']

Error(Midpoints are not in die_area): temp_buffer_5 Z ['CTS.py', '22bank_detailed.def', 'star', 'bank']
Error(Midpoints are not in die_area): temp_buffer_209 Z ['CTS.py', '22bank_detailed.def', 'star', 'bank']
Error(Midpoints are not in die_area): temp_buffer_278 Z ['CTS.py', '22bank_detailed.def', 'star', 'bank']
Error(Midpoints are not in die_area): temp_buffer_345 Z ['CTS.py', '22bank_detailed.def', 'star', 'bank']
Error(Midpoints are not in die_area): temp_buffer_482 Z ['CTS.py', '22bank_detailed.def', 'star', 'bank']
Error(Midpoints are not in die_area): temp_buffer_553 Z ['CTS.py', '22bank_detailed.def', 'star', 'bank']
Error(Midpoints are not in die_area): temp_buffer_621 Z ['CTS.py', '22bank_detailed.def', 'star', 'bank']
Error(Midpoints are not in die_area): temp_buffer_1031 Z ['CTS.py', '22bank_detailed.def', 'star', 'bank']
Error(Midpoints are not in die_area): temp_buffer_1240 Z ['CTS.py', '22bank_detailed.def', 'star', 'bank']
Error(Midpoints are not in die_area): temp_buffer_1444 Z ['CTS.py', '22bank_detailed.def', 'star', 'bank']
Error(Midpoints are not in die_area): temp_buffer_2130 Z ['CTS.py', '22bank_detailed.def', 'star', 'bank']
Error(Midpoints are not in die_area): temp_buffer_657 Z ['CTS.py', '3_random_25.def', 'star', 'random3']
Error(Midpoints are not in die_area): temp_buffer_965 Z ['CTS.py', '3_random_25.def', 'star', 'random3']
Error(Midpoints are not in die_area): temp_buffer_209 Z ['CTS.py', '3_random_25.def', 'star', 'random3']
