0.00 0.00 ^ p11088 (in)
18.75 18.75 v o609802/o (INV_Y10)
16.12 34.87 ^ o618152/o (INV_Z20)
22.52 57.39 v o618153/o (INV_Z20)
18.60 75.99 ^ o618154/o (INV_Z40)
12.13 88.12 v o618156/o (INV_Z20)
40.58 128.71 ^ FE_OCPC291545_n560707/o (INV_Z1)
16.59 145.30 v FE_OCPC291546_n560707/o (INV_Z6)
40.76 186.06 ^ FE_OCPC291525_n560707/o (INV_Z1)
30.74 216.80 v FE_OCPC291524_n560707/o (INV_Z6)
30.35 247.15 ^ FE_OFC282703_n560707/o (INV_Z10)
17.88 265.03 v FE_OFC282705_n560707/o (INV_Z20)
28.20 293.23 ^ o618157/o (INV_Z20)
14.12 307.35 v o618158/o (INV_Z80)
18.71 326.05 ^ o618160/o (INV_Z10)
24.60 350.65 v FE_OFC282510_n697275/o (INV_Z2)
13.36 364.01 ^ FE_OFC282513_n697275/o (INV_Y6)
45.33 409.34 v o618165/o (INV_Z2)
44.63 453.97 ^ A1_B1_C3_D24_E18_F6_G6_H2_o549990/o (INV_Z10)
86.54 540.51 v A1_B1_C3_D24_E18_F6_G6_H2_o548861/o (NAND2_X1)
74.75 615.26 ^ A1_B1_C3_D24_E18_F6_G6_H2_o549342/o (NOR2_X4)
94.10 709.36 v A1_B1_C3_D24_E18_F6_G6_H2_o549338/o (NAND2_X1)
72.09 781.45 ^ A1_B1_C3_D24_E18_F6_G6_H2_o549336/o (NOR2_Y1)
134.26 915.71 v A1_B1_C3_D24_E18_F6_G6_H2_o549335/o (NAND4_Z1)
44.57 960.29 ^ A1_B1_C3_D24_E18_F6_G6_H2_o549407/o (NAND3_Z1)
33.02 993.31 v FE_OFC104583_n634550/o (INV_Z1)
49.61 1042.92 ^ FE_OFC104584_n634550/o (INV_Z2)
27.66 1070.58 v A1_B1_C3_D24_E18_F6_G6_H2_o550561/o (INV_Z10)
10.13 1080.71 ^ FE_OFC125446_n184151/o (INV_Z10)
30.38 1111.08 v FE_OFC125447_n184151/o (INV_Z1)
19.32 1130.40 ^ A3_B1_C3_D24_E18_F6_G6_o615436/o (INV_Z4)
22.81 1153.21 v A3_B1_C3_D24_E18_F6_G6_o615437/o (INV_Z4)
20.08 1173.29 v A1_B1_C3_D11_E18_F6_G6_o680520/o76 (block_644x675_105)
24.41 1197.70 ^ FE_OFC84636_n185122/o (INV_Z10)
10.34 1208.04 v FE_OFC84637_n185122/o (INV_Z10)
8.21 1216.26 ^ FE_OFC84638_n185122/o (INV_Z4)
67.87 1284.12 v FE_OFC84639_n185122/o (INV_Z1)
19.82 1303.95 v A1_B3_C6_D15_E25_E18_F6_H4_G7_o680524/o68 (block_716x810_103)
18.65 1322.59 v A1_B3_C6_D15_E25_E18_F6_H4_G7_o680525/o51 (block_292x342_82)
25.46 1348.05 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_o527997/o (INV_Z10)
9.53 1357.59 v FE_OFC284988_n614629/o (INV_Z10)
39.68 1397.27 ^ FE_OFC284989_n614629/o (INV_Z1)
19.87 1417.14 v FE_OFC33964_n614629/o (INV_Z6)
32.12 1449.26 ^ FE_OFC33965_n614629/o (INV_Z4)
43.15 1492.42 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_o526736/o (NOR4_Z20)
31.11 1523.53 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527597/o (NOR2_Z20)
16.61 1540.14 v FE_OFC282294_n615296/o (INV_Z20)
13.14 1553.27 ^ FE_OFC282296_n615296/o (INV_Z20)
12.92 1566.19 v FE_OFC282298_n615296/o (INV_Z20)
15.27 1581.46 ^ FE_OFC282300_n615296/o (INV_Z20)
18.17 1599.63 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527598/o (NOR2_Z40)
21.86 1621.48 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527599/o (NOR2_Z20)
23.21 1644.69 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527600/o (NAND2_Z20)
24.36 1669.05 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527601/o (NAND2_Z20)
23.67 1692.72 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527602/o (NOR2_Z20)
24.93 1717.65 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527603/o (NAND2_Z20)
23.84 1741.49 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527604/o (NOR2_Z20)
32.14 1773.64 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527605/o (NOR2_Z20)
26.98 1800.62 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527606/o (NAND2_Z40)
19.59 1820.21 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527607/o (NOR2_Z40)
23.30 1843.51 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527608/o (NAND2_Z20)
25.68 1869.19 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527609/o (NOR2_Z20)
31.61 1900.80 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527610/o (NOR2_Z20)
26.99 1927.79 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527611/o (NAND2_Z40)
24.18 1951.97 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527612/o (NAND2_Z40)
23.45 1975.42 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527613/o (NOR2_Z40)
23.34 1998.77 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527614/o (NAND2_Z40)
23.24 2022.01 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527615/o (NAND2_Z40)
23.36 2045.37 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527616/o (NOR2_Z40)
23.36 2068.72 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527617/o (NOR2_Z40)
23.85 2092.57 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527618/o (NAND2_Z40)
24.53 2117.11 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527619/o (NAND2_Z40)
20.63 2137.73 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527620/o (NOR2_Z40)
22.04 2159.78 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527621/o (NOR2_Z20)
22.92 2182.70 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527622/o (NOR2_Z20)
25.47 2208.17 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527623/o (NOR2_Z20)
25.45 2233.62 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527624/o (NOR2_Z20)
24.48 2258.10 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527625/o (NAND2_Z20)
31.28 2289.37 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527626/o (NAND2_Z20)
25.95 2315.32 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527627/o (NOR2_Z40)
25.17 2340.49 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527628/o (NOR2_Z40)
23.53 2364.02 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527629/o (NAND2_Z40)
22.98 2387.00 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527630/o (NAND2_Z40)
22.81 2409.82 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527631/o (NOR2_Z40)
23.37 2433.19 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527632/o (NAND2_Z40)
23.25 2456.44 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527633/o (NAND2_Z40)
24.33 2480.77 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527634/o (NOR2_Z40)
23.23 2504.00 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527635/o (NOR2_Z40)
20.03 2524.02 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527636/o (NAND2_Z40)
23.40 2547.43 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527637/o (NOR2_Z20)
32.24 2579.67 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527638/o (NAND2_Z20)
26.34 2606.01 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527639/o (NOR2_Z40)
20.08 2626.09 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527640/o (NOR2_Z40)
22.22 2648.31 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527641/o (NAND2_Z20)
25.15 2673.46 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527642/o (NAND2_Z20)
14.50 2687.96 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_o527000/o (INV_Z6)
