o680526 | o680523 | ranking : 1 1 | shortest o680523 o680526 
o680522 | o680547 | ranking : 1 1 | shortest o680547 o680522 
o680528 | o680532 | ranking : 11 9 | shortest o680529 o680543 
o680528 | o680539 | ranking : 4 4 | shortest o680529 o680529 
o680528 | o680541 | ranking : 12 7 | shortest o680529 o680543 
o680528 | o680543 | ranking : 13 9 | shortest o680529 o680532 
o680528 | o680535 | ranking : 5 6 | shortest o680529 o680537 
o680528 | o680537 | ranking : 3 3 | shortest o680529 o680535 
o680528 | o680530 | ranking : 2 3 | shortest o680529 o680529 
o680532 | o680539 | ranking : 3 5 | shortest o680543 o680529 
o680532 | o680541 | ranking : 5 3 | shortest o680543 o680543 
o680532 | o680543 | ranking : 1 1 | shortest o680543 o680532 
o680532 | o680535 | ranking : 2 2 | shortest o680543 o680537 
o680532 | o680537 | ranking : 5 5 | shortest o680543 o680535 
o680532 | o680530 | ranking : 7 9 | shortest o680543 o680529 
o680539 | o680541 | ranking : 10 6 | shortest o680529 o680543 
o680539 | o680543 | ranking : 8 5 | shortest o680529 o680532 
o680539 | o680535 | ranking : 6 5 | shortest o680529 o680537 
o680539 | o680537 | ranking : 2 2 | shortest o680529 o680535 
o680539 | o680530 | ranking : 3 4 | shortest o680529 o680529 
o680541 | o680543 | ranking : 1 2 | shortest o680543 o680532 
o680541 | o680535 | ranking : 2 3 | shortest o680543 o680537 
o680541 | o680537 | ranking : 4 7 | shortest o680543 o680535 
o680541 | o680530 | ranking : 10 16 | shortest o680543 o680529 
o680543 | o680535 | ranking : 3 5 | shortest o680532 o680537 
o680543 | o680537 | ranking : 6 8 | shortest o680532 o680535 
o680543 | o680530 | ranking : 8 14 | shortest o680532 o680529 
o680535 | o680537 | ranking : 1 1 | shortest o680537 o680535 
o680535 | o680530 | ranking : 8 10 | shortest o680537 o680529 
o680537 | o680530 | ranking : 6 6 | shortest o680535 o680529 
o680451 | o680457 | ranking : 8 6 | shortest o680454 o680453 
o680451 | o680453 | ranking : 4 5 | shortest o680454 o680458 
o680451 | o680455 | ranking : 2 1 | shortest o680454 o680451 
o680451 | o680458 | ranking : 5 6 | shortest o680454 o680456 
o680533 | o680524 | ranking : 32 60 | shortest o680544 o680530 
o680533 | o680534 | ranking : 2 6 | shortest o680544 o680544 
o680533 | o680536 | ranking : 4 6 | shortest o680544 o680538 
o680533 | o680538 | ranking : 5 6 | shortest o680544 o680536 
o680533 | o680540 | ranking : 6 6 | shortest o680544 o680538 
o680533 | o680542 | ranking : 3 4 | shortest o680544 o680536 
o680533 | o680544 | ranking : 1 2 | shortest o680544 o680534 
o680524 | o680520 | ranking : 23 23 | shortest o680530 o680517 
o680524 | o680527 | ranking : 4 3 | shortest o680530 o680531 
o680524 | o680525 | ranking : 8 3 | shortest o680530 o680531 
o680524 | o680529 | ranking : 3 4 | shortest o680530 o680530 
o680524 | o680531 | ranking : 2 3 | shortest o680530 o680527 
o680457 | o680466 | ranking : 5 7 | shortest o680453 o680458 
o680457 | o680453 | ranking : 1 2 | shortest o680453 o680458 
o680457 | o680455 | ranking : 9 9 | shortest o680453 o680451 
o680457 | o680458 | ranking : 2 5 | shortest o680453 o680456 
o680466 | o680475 | ranking : 16 12 | shortest o680458 o680471 
o680466 | o680453 | ranking : 4 4 | shortest o680458 o680458 
o680466 | o680458 | ranking : 1 3 | shortest o680458 o680456 
o680466 | o680460 | ranking : 3 5 | shortest o680458 o680463 
o680466 | o680462 | ranking : 15 10 | shortest o680458 o680464 
o680466 | o680464 | ranking : 12 10 | shortest o680458 o680461 
o680466 | o680467 | ranking : 6 6 | shortest o680458 o680460 
o680475 | o680484 | ranking : 14 16 | shortest o680471 o680480 
o680475 | o680469 | ranking : 2 3 | shortest o680471 o680468 
o680475 | o680471 | ranking : 1 3 | shortest o680471 o680469 
o680475 | o680473 | ranking : 5 11 | shortest o680471 o680472 
o680475 | o680476 | ranking : 9 12 | shortest o680471 o680473 
o680484 | o680493 | ranking : 15 15 | shortest o680480 o680494 
o680484 | o680478 | ranking : 2 3 | shortest o680480 o680477 
o680484 | o680480 | ranking : 1 2 | shortest o680480 o680478 
o680484 | o680482 | ranking : 5 11 | shortest o680480 o680481 
o680484 | o680485 | ranking : 9 14 | shortest o680480 o680482 
o680493 | o680502 | ranking : 21 11 | shortest o680494 o680498 
o680493 | o680487 | ranking : 2 2 | shortest o680494 o680494 
o680493 | o680489 | ranking : 11 11 | shortest o680494 o680488 
o680493 | o680491 | ranking : 10 11 | shortest o680494 o680489 
o680493 | o680494 | ranking : 1 2 | shortest o680494 o680487 
o680502 | o680511 | ranking : 21 19 | shortest o680498 o680507 
o680502 | o680496 | ranking : 4 4 | shortest o680498 o680500 
o680502 | o680498 | ranking : 1 4 | shortest o680498 o680503 
o680502 | o680500 | ranking : 3 4 | shortest o680498 o680496 
o680502 | o680503 | ranking : 2 4 | shortest o680498 o680498 
o680511 | o680520 | ranking : 7 6 | shortest o680507 o680517 
o680511 | o680505 | ranking : 11 12 | shortest o680507 o680509 
o680511 | o680507 | ranking : 1 2 | shortest o680507 o680512 
o680511 | o680509 | ranking : 14 12 | shortest o680507 o680504 
o680511 | o680512 | ranking : 4 3 | shortest o680507 o680507 
o680520 | o680514 | ranking : 13 12 | shortest o680517 o680516 
o680520 | o680516 | ranking : 8 7 | shortest o680517 o680514 
o680520 | o680518 | ranking : 12 18 | shortest o680517 o680521 
o680520 | o680521 | ranking : 16 22 | shortest o680517 o680518 
o680527 | o680525 | ranking : 2 2 | shortest o680531 o680531 
o680527 | o680529 | ranking : 8 12 | shortest o680531 o680530 
o680527 | o680531 | ranking : 1 1 | shortest o680531 o680527 
o680525 | o680529 | ranking : 6 13 | shortest o680531 o680530 
o680525 | o680531 | ranking : 1 2 | shortest o680531 o680527 
o680525 | o680521 | ranking : 12 15 | shortest o680531 o680518 
o680529 | o680531 | ranking : 9 6 | shortest o680530 o680527 
o680529 | o680518 | ranking : 11 4 | shortest o680530 o680521 
o680529 | o680521 | ranking : 6 3 | shortest o680530 o680518 
o680531 | o680534 | ranking : 43 21 | shortest o680527 o680544 
o680531 | o680521 | ranking : 11 7 | shortest o680527 o680518 
o680534 | o680536 | ranking : 2 2 | shortest o680544 o680538 
o680534 | o680538 | ranking : 4 3 | shortest o680544 o680536 
o680534 | o680540 | ranking : 5 3 | shortest o680544 o680538 
o680534 | o680542 | ranking : 3 2 | shortest o680544 o680536 
o680534 | o680544 | ranking : 1 1 | shortest o680544 o680534 
o680536 | o680538 | ranking : 1 1 | shortest o680538 o680536 
o680536 | o680540 | ranking : 4 2 | shortest o680538 o680538 
o680536 | o680542 | ranking : 3 1 | shortest o680538 o680536 
o680536 | o680544 | ranking : 5 3 | shortest o680538 o680534 
o680538 | o680540 | ranking : 2 1 | shortest o680536 o680538 
o680538 | o680542 | ranking : 4 3 | shortest o680536 o680536 
o680538 | o680544 | ranking : 5 5 | shortest o680536 o680534 
o680540 | o680542 | ranking : 5 6 | shortest o680538 o680536 
o680540 | o680544 | ranking : 4 6 | shortest o680538 o680534 
o680542 | o680544 | ranking : 5 4 | shortest o680536 o680534 
o680453 | o680455 | ranking : 7 4 | shortest o680458 o680451 
o680453 | o680458 | ranking : 1 2 | shortest o680458 o680456 
o680455 | o680458 | ranking : 5 7 | shortest o680451 o680456 
o680458 | o680460 | ranking : 8 12 | shortest o680456 o680463 
o680460 | o680462 | ranking : 10 6 | shortest o680463 o680464 
o680460 | o680464 | ranking : 6 5 | shortest o680463 o680461 
o680460 | o680467 | ranking : 2 1 | shortest o680463 o680460 
o680460 | o680469 | ranking : 7 7 | shortest o680463 o680468 
o680462 | o680464 | ranking : 1 2 | shortest o680464 o680461 
o680462 | o680467 | ranking : 9 13 | shortest o680464 o680460 
o680464 | o680467 | ranking : 8 9 | shortest o680461 o680460 
o680467 | o680469 | ranking : 5 6 | shortest o680460 o680468 
o680469 | o680471 | ranking : 2 1 | shortest o680468 o680469 
o680469 | o680473 | ranking : 8 7 | shortest o680468 o680472 
o680469 | o680476 | ranking : 11 9 | shortest o680468 o680473 
o680471 | o680473 | ranking : 5 5 | shortest o680469 o680472 
o680471 | o680476 | ranking : 8 8 | shortest o680469 o680473 
o680473 | o680476 | ranking : 2 1 | shortest o680472 o680473 
o680473 | o680478 | ranking : 6 7 | shortest o680472 o680477 
o680473 | o680480 | ranking : 9 10 | shortest o680472 o680478 
o680476 | o680478 | ranking : 4 6 | shortest o680473 o680477 
o680476 | o680480 | ranking : 7 7 | shortest o680473 o680478 
o680478 | o680480 | ranking : 2 1 | shortest o680477 o680478 
o680478 | o680482 | ranking : 8 8 | shortest o680477 o680481 
o680478 | o680485 | ranking : 11 11 | shortest o680477 o680482 
o680480 | o680482 | ranking : 5 6 | shortest o680478 o680481 
o680480 | o680485 | ranking : 9 8 | shortest o680478 o680482 
o680482 | o680485 | ranking : 2 1 | shortest o680481 o680482 
o680482 | o680487 | ranking : 5 5 | shortest o680481 o680494 
o680482 | o680489 | ranking : 14 9 | shortest o680481 o680488 
o680482 | o680491 | ranking : 13 9 | shortest o680481 o680489 
o680482 | o680494 | ranking : 7 5 | shortest o680481 o680487 
o680485 | o680487 | ranking : 4 4 | shortest o680482 o680494 
o680485 | o680489 | ranking : 13 8 | shortest o680482 o680488 
o680485 | o680491 | ranking : 10 7 | shortest o680482 o680489 
o680485 | o680494 | ranking : 5 4 | shortest o680482 o680487 
o680487 | o680489 | ranking : 9 5 | shortest o680494 o680488 
o680487 | o680491 | ranking : 8 4 | shortest o680494 o680489 
o680487 | o680494 | ranking : 1 1 | shortest o680494 o680487 
o680489 | o680491 | ranking : 2 1 | shortest o680488 o680489 
o680489 | o680494 | ranking : 7 10 | shortest o680488 o680487 
o680491 | o680494 | ranking : 6 9 | shortest o680489 o680487 
o680494 | o680496 | ranking : 19 11 | shortest o680487 o680500 
o680496 | o680498 | ranking : 3 3 | shortest o680500 o680503 
o680496 | o680500 | ranking : 1 1 | shortest o680500 o680496 
o680496 | o680503 | ranking : 2 2 | shortest o680500 o680498 
o680498 | o680500 | ranking : 2 2 | shortest o680503 o680496 
o680498 | o680503 | ranking : 1 1 | shortest o680503 o680498 
o680500 | o680503 | ranking : 3 3 | shortest o680496 o680498 
o680503 | o680505 | ranking : 19 21 | shortest o680498 o680509 
o680505 | o680507 | ranking : 7 9 | shortest o680509 o680512 
o680505 | o680509 | ranking : 1 2 | shortest o680509 o680504 
o680505 | o680512 | ranking : 11 12 | shortest o680509 o680507 
o680507 | o680509 | ranking : 12 8 | shortest o680512 o680504 
o680507 | o680512 | ranking : 1 1 | shortest o680512 o680507 
o680509 | o680512 | ranking : 11 13 | shortest o680504 o680507 
o680512 | o680514 | ranking : 6 3 | shortest o680507 o680516 
o680514 | o680516 | ranking : 1 1 | shortest o680516 o680514 
o680514 | o680518 | ranking : 4 8 | shortest o680516 o680521 
o680514 | o680521 | ranking : 8 16 | shortest o680516 o680518 
o680516 | o680518 | ranking : 2 5 | shortest o680514 o680521 
o680516 | o680521 | ranking : 4 10 | shortest o680514 o680518 
o680518 | o680521 | ranking : 1 1 | shortest o680521 o680518 
o680550 | o680549 | ranking : 1 1 | shortest o680549 o680550 
